# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	19856
#@/user_id	240c8f47-1b3e-481f-bf46-4ce45a0f2d10
a 	啊	c=2 d=0.0773569 t=19856
bi jiao hao 	比較好	c=2 d=1.30811e-09 t=19856
bi jiao he shi 	比較合適	c=1 d=0.0833256 t=19856
bi jiao jie jin 	比較接近	c=1 d=8.99377e-18 t=19856
bi jiao mang 	比較忙	c=1 d=0.00970611 t=19856
bi jiao quan 	比較全	c=1 d=5.10735e-08 t=19856
bi jiao te shu 	比較特殊	c=1 d=5.06962e-09 t=19856
bi jiao xiao 	比較小	c=1 d=6.22414e-11 t=19856
bi jiao zheng chang 	比較正常	c=1 d=0.00975476 t=19856
bi li 	比例	c=22 d=0.261084 t=19856
bi lie 	鄙劣	c=1 d=0.000169103 t=19856
bi mian 	避免	c=18 d=0.28955 t=19856
bi ru 	比如	c=8 d=0.0531307 t=19856
bi wu 	筆誤	c=1 d=0.0194482 t=19856
bi xia 	比下	c=0 d=2.8463e-13 t=19856
bi xu 	必須	c=2 d=6.65096e-18 t=19856
bi yao 	必要	c=0 d=4.56353e-08 t=19856
bi zuo tian 	比昨天	c=1 d=3.62588e-07 t=19856
bian 	便	c=1 d=1.73981e-15 t=19856
bian 	變	c=5 d=1.13476e-07 t=19856
bian 	邊	c=5 d=2.77461e-06 t=19856
bian cha 	變差	c=1 d=1.08927e-06 t=19856
bian cheng 	變成	c=1 d=0.00311976 t=19856
bian dong 	變動	c=13 d=0.463013 t=19856
bian dong lv 	變動率	c=1 d=8.81568e-18 t=19856
bian dong zai 	變動在	c=1 d=4.75138e-11 t=19856
bian geng 	變更	c=17 d=0.0968105 t=19856
bian geng dan 	變更但	c=7 d=0.0497871 t=19856
bian hao 	編號	c=1 d=1.93144e-09 t=19856
bian hua 	變化	c=1 d=6.84327e-10 t=19856
bian ji 	編輯	c=3 d=2.7511e-06 t=19856
bian ji qi 	編輯器	c=1 d=1.26293e-11 t=19856
bian liang 	變量	c=11 d=0.418445 t=19856
bian liang ji 	變量機	c=1 d=0.10435 t=19856
bian ma 	編碼	c=3 d=1.27727e-10 t=19856
bian xing 	變形	c=1 d=5.45221e-12 t=19856
biao 	表	c=19 d=0.019815 t=19856
biao da shi 	表達式	c=4 d=2.85565e-08 t=19856
biao ge 	表格	c=2 d=1.95383e-19 t=19856
biao ji 	標記	c=1 d=7.37374e-05 t=19856
biao jie 	表姐	c=0 d=3.83949e-05 t=19856
biao jie gou 	表結構	c=1 d=1.59283e-06 t=19856
biao li 	表裏	c=2 d=4.00653e-05 t=19856
biao pan 	錶盤	c=1 d=2.85416e-15 t=19856
biao qian 	標籤	c=1 d=3.58919e-05 t=19856
biao shi 	表示	c=3 d=0.491644 t=19856
biao xian 	表現	c=1 d=6.2726e-14 t=19856
biao zhong 	表中	c=1 d=1.88311e-05 t=19856
biao zhun 	標準	c=1 d=2.76933e-13 t=19856
bie 	別	c=2 d=9.10147e-11 t=19856
bie jiao 	蹩腳	c=0 d=1.17735e-10 t=19856
bie jiao xia 	蹩腳下	c=1 d=1.18325e-09 t=19856
bie wang le 	別忘了	c=1 d=0.000523486 t=19856
bing 	並	c=8 d=1.03684e-05 t=19856
bing 	餅	c=1 d=4.54308e-13 t=19856
bing fan hui 	並返回	c=1 d=8.81118e-12 t=19856
bing feng 	冰封	c=1 d=3.17068e-17 t=19856
bing mei you 	並沒有	c=2 d=0.00101791 t=19856
bing wu 	並無	c=1 d=3.73566e-05 t=19856
bing xiang 	冰箱	c=3 d=4.38683e-13 t=19856
bo 	波	c=1 d=1.64699e-17 t=19856
bo dong 	波動	c=2 d=4.93169e-08 t=19856
bo xing 	波形	c=11 d=0.957546 t=19856
bo xing 	發行	c=2 d=0.00767337 t=19856
bo xue 	剝削	c=2 d=7.55455e-14 t=19856
bu 	不	c=26 d=0.285938 t=19856
bu 	布	c=1 d=3.50963e-06 t=19856
bu 	補	c=20 d=0.914598 t=19856
bu 	部	c=2 d=0.900325 t=19856
bu bei 	不備	c=1 d=1.11472e-13 t=19856
bu bi 	不必	c=1 d=0.000308127 t=19856
bu bi yao 	不必要	c=1 d=9.57626e-21 t=19856
bu bian 	不變	c=3 d=0.000731802 t=19856
bu bu 	補補	c=1 d=3.34244e-20 t=19856
bu cha 	不差	c=0 d=1.63766e-10 t=19856
bu chang 	補償	c=5 d=1.15369e-07 t=19856
bu chong 	補充	c=1 d=0.00129402 t=19856
bu chong ba 	補充吧	c=1 d=0.00848038 t=19856
